17:46:15,183 (main) INFO  [DataNucleus.Enhancer] - Writing class file "D:\ProjectData\Shivu\stockboo-app\target\stockboo-app-1.0-SNAPSHOT\WEB-INF\classes\com\stockboo\app\InstallEntity.class" with enhanced definition
17:46:15,183 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=260 ms, enhance=49 ms, total=309 ms. Consult the log for full details
17:46:29,081 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:46:29,275 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:46:29,533 (main) INFO  [DataNucleus.Enhancer] - Class "com.stockboo.app.InstallEntity" is already enhanced.
17:46:29,533 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=227 ms, enhance=29 ms, total=256 ms. Consult the log for full details
18:46:22,213 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
18:46:22,357 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
18:46:22,652 (main) INFO  [DataNucleus.Enhancer] - Writing class file "D:\ProjectData\Shivu\stockboo-app\target\stockboo-app-1.0-SNAPSHOT\WEB-INF\classes\com\stockboo\app\entity\InstallEntity.class" with enhanced definition
18:46:22,653 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=247 ms, enhance=48 ms, total=295 ms. Consult the log for full details
18:46:36,598 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
18:46:36,777 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
18:46:37,084 (main) INFO  [DataNucleus.Enhancer] - Class "com.stockboo.app.entity.InstallEntity" is already enhanced.
18:46:37,084 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=271 ms, enhance=33 ms, total=304 ms. Consult the log for full details
18:59:58,089 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
18:59:58,295 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
18:59:58,599 (main) INFO  [DataNucleus.Enhancer] - Class "com.stockboo.app.entity.InstallEntity" is already enhanced.
18:59:58,599 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=276 ms, enhance=26 ms, total=302 ms. Consult the log for full details
